field,required_status,source_column,expected_type,business_purpose,availability_status,phase0_decision,notes,data_layer,data_status,source_type,claim_boundary
v18,Required,v18,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v19,Required,v19,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v20,Required,v20,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v21,Required,v21,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v22,Required,v22,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v23,Required,v23,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v24,Required,v24,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v25,Required,v25,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v26,Required,v26,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v27,Required,v27,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
v28,Required,v28,numeric,PCA feature for observed fraud benchmark modelling,Available,LOCKED,May be used for predictive modelling; must not be translated into business reason codes.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
amount,Required,amount,numeric,Transaction exposure and fraud amount capture economics,Available,LOCKED,Cost unit is used unless dataset currency is formally confirmed.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
fraud_flag,Required,fraud_flag,binary 0/1,Observed fraud label for benchmark model validation,Available,LOCKED,Mapped from public dataset Class field.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
amount_band,Optional,amount_band,categorical,Monitoring and segmentation,Available,LOCKED,Derived in Project 0.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
pca_abs_signal,Optional,pca_abs_signal,numeric,PCA signal monitoring and KRI support,Available,LOCKED,Derived in Project 0; not a customer-facing reason code.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
pca_signal_band,Optional,pca_signal_band,categorical,KRI segmentation,Available,LOCKED,Derived in Project 0.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
monitoring_period,Required for stability,monitoring_period,integer,Time-order proxy for stability and monitoring,Available,LOCKED,Derived in Project 0 because current raw copy does not expose original Time.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
source_dataset,Required,source_dataset,string,Lineage and source manifest,Available,LOCKED,Identifies the Project 0 source dataset.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
Time,Unavailable / not used in MVP,not_available_in_current_project0_copy,numeric,Would support original time-order split if present,Unavailable,LOCKED,The current Project 0 raw copy does not contain Time; use monitoring_period as a controlled proxy and disclose limitation.,Layer A - Observed PCA Fraud Benchmark,Observed,Project 0 silver fraud data derived from public OpenML credit card fraud data,Observed predictive benchmark only; no business reason-code claim from PCA variables
